Date	Action	Price	PnL
2015-01-01	Sell	1.20986	0.00
2015-01-02	Sell	1.20894	0.00
2015-05-08	Buy	1.12469	41.82
2015-07-14	Sell	1.09905	-62.42
2015-08-27	Buy	1.13401	91.23
2015-10-29	Sell	1.09290	-48.92
2015-12-29	Buy	1.09753	-4.22
2016-06-01	Sell	1.11360	-5.56
2016-08-22	Buy	1.12982	22.55
2016-10-12	Sell	1.10619	-35.31
2017-01-26	Buy	1.07520	-10.84
2017-03-07	Sell	1.05792	-19.35
2017-03-29	Buy	1.08177	19.82
2017-10-11	Sell	1.18149	31.19
2017-12-06	Buy	1.18329	14.67
2018-03-22	Sell	1.23477	39.17
2018-04-19	Buy	1.23791	-2.42
2018-04-24	Sell	1.22090	-26.30
2018-07-30	Buy	1.16604	-7.54
2018-08-08	Sell	1.16029	19.49
2018-09-18	Buy	1.16692	-17.31
2018-10-23	Sell	1.14679	-18.09
2019-01-01	Buy	1.14931	-23.26
2019-02-12	Sell	1.12790	-19.98
2019-06-19	Buy	1.11982	11.76
2019-07-29	Sell	1.11321	-6.29
2019-10-30	Buy	1.11148	-7.06
2019-12-04	Sell	1.10852	2.77
2019-12-24	Buy	1.10939	-6.32
2020-02-03	Sell	1.10898	27.49
2020-03-17	Buy	1.11632	-3.51
2020-04-08	Sell	1.08951	42.17
2020-05-28	Buy	1.10169	-15.94
2020-09-30	Sell	1.17421	27.07
2020-11-13	Buy	1.18034	-9.80
2021-02-04	Sell	1.20424	1.39
2021-04-30	Buy	1.21271	3.64
2021-06-25	Sell	1.19303	-1.19
2021-09-20	Buy	1.17299	15.95
2021-10-01	Sell	1.15745	-11.69
2022-01-18	Buy	1.14106	0.06
2022-02-16	Sell	1.13568	22.31
2022-02-18	Buy	1.13665	3.86
2022-02-23	Sell	1.13291	8.61
2022-02-25	Buy	1.11907	50.83
2022-03-07	Sell	1.08745	-86.85
2022-06-21	Buy	1.05208	-13.99
2022-06-23	Sell	1.05641	14.95
2022-11-11	Buy	1.01922	-86.36
2023-03-01	Sell	1.05773	-16.02
2023-04-05	Buy	1.09601	-21.97
2023-05-29	Sell	1.07231	-0.64
2023-07-06	Buy	1.08566	13.02
2023-08-22	Sell	1.08984	10.46
